,IC,RankIC
2025-02-05,-0.02085087180367241,-0.007543724390769574
2025-02-06,0.008084443638891405,-0.04114599399956356
2025-02-07,-0.010046255275327168,-0.03313110274746964
2025-02-10,-0.04540703928122832,-0.03306003437974818
2025-02-11,-0.04618285290366986,-0.037667771963595074
2025-02-12,-0.02643963609248701,-0.008728725870950069
2025-02-13,-0.06462158603608995,-0.006897897438581797
2025-02-14,-0.022691993626447304,-0.012643982722026749
2025-02-17,-0.003525129106347377,0.016209494095501455
2025-02-18,0.02496519909069835,0.03899992718764945
2025-02-19,0.017878972947167976,0.06586673069501826
2025-02-20,0.021835664903108305,0.06889474207967491
2025-02-21,0.0030613352328050583,0.08924426045831015
2025-02-24,-0.010817243583398252,0.0840879709383619
2025-02-25,-0.04970484465662273,0.08403322774139026
2025-02-26,-0.039044065056951675,0.08289450225013058
2025-02-27,-0.04018882866324197,0.068625057719057
2025-02-28,-0.05495529777823639,0.07605669111214705
